steamerid,firstname,lastname,DBteamId,IP,start_IP,relief_IP,start_percent,FBV,TBF,G,GS,W,L,SV,BB,K,HBP,ER,R,ERA,RA,H,HR,GB,FB,LD,K9,BB9,HR9,WHIP
6655,Craig,Kimbrel,ATL,65,0,65,0,96.9,256,65,0,5.2087,1.2913,35,19.1538,95,2.1649,12.913,14.778,1.78795384615385,2.04618461538462,42.4137,3.67,63.0662,45.4791,28.9323,13.1538461538462,2.65206461538462,0.508153846153846,0.947192307692308
10233,Aroldis,Chapman,CIN,30,0,30,0,98.3,120,30,0,2.3561,0.6439,26,11.8127,47.455,1.1699,6.4389,7.2432,1.93167,2.17296,17.9202,2.37,24.0402,22.5231,11.7998,14.2365,3.54381,0.711,0.991096666666667
3096,Kenley,Jansen,LAN,65.5308642769704,0,65.5308642769704,0,92.4,264,66.1975308641975,0,4.865,1.5547,32.6049,20.0969,87.3562,2.3849,16.5471,18.3045,2.27257646672511,2.51393754405121,46.226,6.58,59.6396,61.8995,29.5927,11.9974886440846,2.76010551662393,0.903696306364935,1.01208645318154
9227,Koji,Uehara,BOS,65,0,65,0,88.9,258,65,0.1754,4.8741,1.5905,28,11.4221,75.1845,1.6073,15.8015,17.5393,2.1879,2.42851846153846,52.2767,6.8,60.7303,71.8334,35.8089,10.4101615384615,1.58152153846154,0.941538461538461,0.979981538461538
7196,Greg,Holland,KCA,65,0,65,0,95.8,261,65,0,4.7815,1.7185,34,21.2661,83.1833,1.4157,17.1854,19.1663,2.37951692307692,2.65379538461538,47.2808,4.71,65.9027,56.356,31.6435,11.5176876923077,2.94453692307692,0.652153846153846,1.05456769230769
521,Jason,Grilli,PIT,65,0,65,0,93.1,265,65,0,4.7689,1.7311,34,18.8214,76.6109,2.3792,17.3112,19.2446,2.39693538461538,2.66463692307692,50.8286,5.78,64.811,66.1269,33.6944,10.6076630769231,2.60604,0.800307692307692,1.07153846153846
7550,Jake,McGee,TBA,65,0,65,0,96,263,65,0,4.6624,1.8376,8,19.7345,75.3283,1.8048,18.3758,20.396,2.54434153846154,2.82406153846154,50.4918,5.86,68.3876,63.5972,33.3159,10.4300723076923,2.73246923076923,0.811384615384615,1.08040461538462
10745,Trevor,Rosenthal,SLN,65,0,65,0,97.3,266,65,0,4.6617,1.8383,35,20.2909,78.2077,3.2551,18.3832,20.4891,2.54536615384615,2.83695230769231,50.5118,4.75,72.2954,56.1219,33.4304,10.8287584615385,2.80950923076923,0.657692307692308,1.08927230769231
6033,Kelvin,Herrera,KCA,55,0,55,0,98.2,223,55,0,3.936,1.564,1,16.6092,62.2902,1.9519,15.6404,17.5332,2.55933818181818,2.86906909090909,43.2035,3.83,67.2034,44.8023,28.9533,10.1929418181818,2.71786909090909,0.626727272727273,1.08750363636364
5861,Jason,Motte,SLN,35,0,35,0,96.1,143,35,0,2.462,1.038,2,8.8896,37.9202,1.3553,10.3801,11.507,2.66916857142857,2.95894285714286,29.1802,3.07,39.7295,34.401,19.3224,9.75090857142857,2.28589714285714,0.789428571428571,1.08770857142857
5178,Ernesto,Frieri,LAA,65,0,65,0,94.1,271,65,0,4.5536,1.9464,31,24.7309,79.1281,3.6172,19.4644,21.1698,2.69507076923077,2.93120307692308,50.0443,7.94,47.3717,81.9271,32.9438,10.9561984615385,3.42427846153846,1.09938461538462,1.15038769230769
4264,Mark,Melancon,PIT,65,0,65,0,92.6,266,65,0,4.5497,1.9503,4,14.0483,59.0667,2.2802,19.5028,22.0963,2.70038769230769,3.05948769230769,59.2182,3.77,104.4598,44.9027,38.484,8.17846615384615,1.94514923076923,0.522,1.12717692307692
1437,Joaquin,Benoit,SDN,65,0,65,0,93.8,266,65,0,4.5457,1.9543,13,19.3243,73.4644,1.8635,19.5429,21.6293,2.70594,2.99482615384615,52.4541,6.09,72.2157,62.9356,33.6055,10.1719938461538,2.67567230769231,0.843230769230769,1.10428307692308
8041,Glen,Perkins,MIN,65,0,65,0,94.6,267,65,0,4.5029,1.9971,32,17.6425,72.7019,2.3857,19.9707,22.0414,2.76517384615385,3.05188615384615,55.2756,5.83,72.2077,63.4187,36.6933,10.0664169230769,2.44280769230769,0.807230769230769,1.12181692307692
1581,Sean,Doolittle,OAK,55,0,55,0,94,226,55,0,3.7593,1.7407,1,14.4058,55.4297,1.6767,17.4069,19.0605,2.84840181818182,3.11899090909091,47.6145,6.31,55.3839,66.5834,31.4288,9.07031454545454,2.35731272727273,1.03254545454545,1.12764181818182
5905,Sean,Marshall,CIN,20,0,20,0,88.6,82,20,0,1.3632,0.6368,0,5.2285,19.5718,0.7536,6.3679,7.1243,2.865555,3.205935,17.516,1.66,28.7987,15.8253,11.3084,8.80731,2.352825,0.747,1.137225
3271,Jordan,Walden,ATL,65,0,65,0,95.5,269,65,0,4.4158,2.0842,2,21.1559,74.2473,1.9395,20.8424,22.8958,2.88587076923077,3.17018769230769,53.0765,6.05,68.304,64.931,35.5133,10.2803953846154,2.92927846153846,0.837692307692308,1.14203692307692
13398,Paco,Rodriguez,LAN,45.1111111209786,0,45.1111111209786,0,89.6,189,45.4444444444444,0,3.0087,1.4358,0,16.9933,48.2206,1.6104,14.3579,15.9205,2.86450714223057,3.1762573884678,37.3904,3.79,55.7417,41.1303,23.4347,9.62036600774789,3.39028891551458,0.756133004760715,1.2055499997363
2036,Clayton,Kershaw,LAN,186.814814178965,186.814814178965,0,1,92.6,764,32.6049382716049,32.6049,14.5631,9.3315,0,47.105,190.978,3.9535,59.3163,65.7415,2.85762508902846,3.16716585138257,159.2673,16.35,241.5659,171.2192,100.8059,9.20056585209254,2.26933287846149,0.787678432498576,1.10468915919216
7175,Jonny,Venters,ATL,45,0,45,0,93,188,45,0,3.0361,1.4639,1,16.7714,47.299,2.0448,14.6391,16.4521,2.92782,3.29042,38.1633,2.39,67.2748,27.8005,25.3419,9.4598,3.35428,0.478,1.22077111111111
844,Mariano,Rivera,NYA,1,0,1,0,91.6,4,1,0,0.0672,0.0328,0,0.1857,0.9017,0.0305,0.3282,0.3632,2.9538,3.2688,0.9096,0.11,1.3244,1.0116,0.5865,8.1153,1.6713,0.99,1.0953
6943,Luke,Hochevar,KCA,1,0,1,0,95.2,4,0.199350877192982,0.1704,0.0337,0.0355,0,0.2364,0.9512,0.041,0.3336,0.3679,3.0024,3.3111,0.888,0.1,1.241,1.027,0.5863,8.5608,2.1276,0.9,1.1244
1797,Neal,Cotts,TEX,65,0,65,0,91.9,270,65,0,4.3198,2.1802,3,22.0261,71.3625,1.7678,21.8015,23.9847,3.01866923076923,3.32095846153846,55.0621,6.42,74.2108,62.1018,36.6666,9.88096153846154,3.04976769230769,0.888923076923077,1.18597230769231
6422,Rich,Thompson,OAK,1,0,1,0,71.7,4,1,0,0.0664,0.0336,0,0.3278,1.0752,0.0267,0.3355,0.3684,3.0195,3.3156,0.8403,0.09,1.1103,1.0218,0.5494,9.6768,2.9502,0.81,1.1681
10586,Addison,Reed,ARI,65.1975308641975,0,65.1975308641975,0,92.8,271,65.1975308641975,0,4.2601,2.1596,30.6173,19.4258,69.3543,3.3717,21.5962,23.6282,2.98118345010415,3.26168487028972,54.9429,7.3,69.1181,71.4103,35.7851,9.57380888089377,2.68157701192956,1.00770687369816,1.14066743041091
8180,Kevin,Siegrist,SLN,55,0,55,0,95.2,232,55,0,3.6479,1.8521,1,22.5243,61.7967,2.4914,18.5208,20.4143,3.03067636363636,3.34052181818182,44.6139,4.57,61.7985,51.5225,29.5004,10.1121872727273,3.68579454545455,0.747818181818182,1.22069454545455
